city,run,window_index,sim_matched_epochs,actual_fix_rate_pct,base_pred_fix_rate_pct,residual_pred_pp,corrected_pred_fix_rate_pct,base_error_pp,corrected_error_pp,abs_error_gain_pp,solver_demo5_ratio_mean,rtk_lock_p90_p50,rtk_lock_p90_p50_past_delta,ratio_mean_ge3_prob,ratio_mean_ge5_prob,ratio_p90_ge10_prob,ratio_p95_ge15_prob,ratio_rise_mean_ge2_prob,lock_p90p50_ge100_prob,lock_rise_p90p50_ge50_prob,lock_carry_or_rise_prob,ratio_or_lock_carry_prob
nagoya,run1,0,300,0.0,24.617164529721272,0.0,24.617164529721272,24.617164529721272,24.617164529721272,0.0,1.0286666666666668,0.0,0.0,0.7169261275104609,0.8102127095838879,0.8754612833209141,0.5263591975174995,0.04033448392617208,0.5476994765586074,0.0,0.414801398513507,0.7206824078159849
nagoya,run1,1,300,80.0,55.905672307484735,0.0,55.905672307484735,-24.09432769251527,-24.09432769251527,0.0,8.295666666666666,90.5,90.5,0.681994387314085,0.7236823300669675,0.6758980040931314,0.4769348419650369,0.5345202823048616,0.5838777974346687,0.6287602732226011,0.4844959180601502,0.7317532953312361
nagoya,run1,2,300,100.0,34.8199323122003,0.0,34.8199323122003,-65.18006768779969,-65.18006768779969,0.0,29.301,390.5,300.0,0.6749412934954834,0.26954836713749114,0.28379181995413694,0.2990681196891409,0.14522284958136217,0.7159196258616406,0.8077019849756091,0.8267910586275905,0.8939312723079607
nagoya,run1,3,214,77.10280373831776,10.39769871785966,0.0,10.39769871785966,-66.7051050204581,-66.7051050204581,0.0,26.129439252336454,601.5,211.0,0.5036503286154164,0.29767145203352074,0.2892597832705162,0.219400270424465,0.033157184154021246,0.716326235704763,0.651039960087982,0.7717963488619509,0.8242691401976394
nagoya,run1,4,280,0.0,3.394979130878922,0.0,3.394979130878922,3.394979130878922,3.394979130878922,0.0,0.3064285714285714,0.0,-601.5,0.07379734584231587,0.06325438613305977,0.05532000565434005,0.06955368515292897,0.0478808534174173,0.14447459290200715,0.0078461467973976,0.14024784413764319,0.09204646442530852
nagoya,run1,5,300,3.3333333333333335,18.75825076811805,0.0,18.75825076811805,15.424917434784716,15.424917434784716,0.0,1.326,0.0,0.0,0.19903293543155018,0.20985748963565695,0.3394367536059687,0.3355291299638482,0.3891807079791558,0.19737491593698764,0.22920052972708213,0.2089845861288034,0.22308780679089923
nagoya,run1,6,300,0.3333333333333333,11.315940710314669,0.0,11.315940710314669,10.982607376981337,10.982607376981337,0.0,1.2846666666666666,11.0,11.0,0.41896560214799416,0.2955184113948982,0.35558762238483704,0.17998441442676455,0.5169193101846987,0.5533323423438158,0.6827245427984621,0.6853749544274116,0.6925199843392267
nagoya,run1,7,300,0.0,33.68373091684834,0.0,33.68373091684834,33.68373091684834,33.68373091684834,0.0,1.0926666666666665,11.0,0.0,0.46800596830533775,0.6560709629707107,0.6594025263017212,0.4367636131532368,0.39509947959762287,0.765294906363233,0.8223136907010377,0.8419475328646353,0.8815884599248649
nagoya,run1,8,300,12.333333333333334,10.180194035397934,0.0,10.180194035397934,-2.1531392979354,-2.1531392979354,0.0,1.2273333333333334,17.85,6.850000000000001,0.1725030476942136,0.32248053516505343,0.2453792369893133,0.24904715178002218,0.050766221376782515,0.5039984028946434,0.11578167038467206,0.49182863413536826,0.655884783520022
nagoya,run1,9,269,1.1152416356877324,2.535206058167393,0.0,2.535206058167393,1.4199644224796606,1.4199644224796606,0.0,0.9286245353159852,34.0,16.15,0.03234328358721734,0.041253539382192124,0.051981547082938305,0.057451359490609734,0.0,0.18499928172381844,0.030595171812021853,0.13230641713367391,0.14658663254089616
nagoya,run1,10,300,3.3333333333333335,14.9670817286306,0.0,14.9670817286306,11.633748395297266,11.633748395297266,0.0,1.4486666666666668,34.0,0.0,0.0622648965351104,0.22074862046802987,0.09036475552150822,0.0763782796047316,0.0991124550955879,0.27989485926230434,0.12642460962540192,0.3040468629566337,0.2659400099263149
nagoya,run1,11,234,4.273504273504273,6.168221109206828,0.0,6.168221109206828,1.8947168357025548,1.8947168357025548,0.0,0.991880341880342,39.0,5.0,0.13520061159058455,0.0786448649978081,0.166029121957858,0.227181605895175,0.0,0.5095968128320909,0.14882009988811545,0.5041578373602452,0.6815429900742265
nagoya,run1,12,268,2.238805970149253,1.848534619007745,0.0,1.848534619007745,-0.39027135114150824,-0.39027135114150824,0.0,0.6992537313432835,0.0,-39.0,0.020695834759627125,0.02225609756097561,0.03660312312036458,0.011130609175231888,0.03055460905274273,0.08046943352255051,0.0076310757853485876,0.08360543875974139,0.08994642463624111
nagoya,run1,13,300,5.333333333333334,13.070444222285834,0.0,13.070444222285834,7.7371108889525,7.7371108889525,0.0,1.4269999999999998,22.0,22.0,0.4881917658106116,0.6476349648252302,0.7167781605010461,0.23556761838352652,0.30018451555797104,0.1830139188276351,0.4288458636021667,0.28644782767768284,0.27256531826799024
nagoya,run1,14,300,0.0,12.828530407128458,0.0,12.828530407128458,12.828530407128458,12.828530407128458,0.0,1.3003333333333331,22.0,0.0,0.6319965382784646,0.6265568628020154,0.6350850017991485,0.5474586615369677,0.49380461633388173,0.3992048499384452,0.810048503225404,0.5214009185042594,0.5283529032579846
nagoya,run1,15,233,6.437768240343347,2.639166860680261,0.0,2.639166860680261,-3.7986013796630855,-3.7986013796630855,0.0,1.3145922746781111,24.5,2.4999999999999964,0.07623218968625323,0.029081161451949493,0.049079010400886754,0.04092527434883165,0.024068123393316196,0.544261405540186,0.13403807217476568,0.474459902677402,0.5278958495404519
nagoya,run1,16,300,0.0,5.124085268967049,0.0,5.124085268967049,5.124085268967049,5.124085268967049,0.0,0.7659999999999999,0.0,-24.5,0.11260971544036162,0.3020688716566412,0.30070462349322913,0.11281161885884897,0.1069520403688409,0.031778753312195394,0.015269333349183062,0.07072003970730026,0.09148373724862639
nagoya,run1,17,300,0.0,10.270657846977189,0.0,10.270657846977189,10.270657846977189,10.270657846977189,0.0,1.2829999999999997,0.0,0.0,0.6977700538101852,0.3301333325594409,0.45310401616280227,0.49883555026370746,0.4514092661783925,0.4797979212581291,0.6331896061104281,0.6407149559495379,0.7967014496951949
nagoya,run1,18,300,0.0,13.741322140654654,0.0,13.741322140654654,13.741322140654654,13.741322140654654,0.0,1.238,0.0,0.0,0.40306948073456894,0.38291495118370644,0.33927787930054154,0.30453914736329973,0.24635537961520676,0.6776090489326323,0.45250687877108164,0.699162324791071,0.6755779649854494
nagoya,run1,19,300,5.333333333333334,10.505655599377691,0.0,10.505655599377691,5.172322266044358,5.172322266044358,0.0,1.336,0.0,0.0,0.5357338240098045,0.19022216499218275,0.21189117192642198,0.23146979767172401,0.14733814574351753,0.6298482127289928,0.5316703128850913,0.6460950877886329,0.7990181719285792
nagoya,run1,20,300,5.666666666666666,2.022112509861438,0.0,2.022112509861438,-3.644554156805228,-3.644554156805228,0.0,1.4480000000000002,32.6,32.6,0.42247838979771063,0.19408473180645922,0.1397130844767816,0.07333558988833559,0.1745285305418645,0.6204404069215627,0.6292477763817984,0.6891436509255787,0.6631077202765921
