city,run,window_index,sim_matched_epochs,actual_fix_rate_pct,base_pred_fix_rate_pct,residual_pred_pp,corrected_pred_fix_rate_pct,base_error_pp,corrected_error_pp,abs_error_gain_pp,solver_demo5_ratio_mean,rtk_lock_p90_p50,rtk_lock_p90_p50_past_delta,ratio_mean_ge3_prob,ratio_mean_ge5_prob,ratio_p90_ge10_prob,ratio_p95_ge15_prob,ratio_rise_mean_ge2_prob,lock_p90p50_ge100_prob,lock_rise_p90p50_ge50_prob,lock_carry_or_rise_prob,ratio_or_lock_carry_prob
nagoya,run1,0,300,0.0,24.617164529721272,0.0,24.617164529721272,24.617164529721272,24.617164529721272,0.0,1.0286666666666668,0.0,0.0,0.7159875586714006,0.8208680490457961,0.8698130887448674,0.5167300578170814,0.04033448392617208,0.5124422536290136,0.0,0.45006200324919654,0.7355943639593208
nagoya,run1,1,300,80.0,55.905672307484735,0.0,55.905672307484735,-24.09432769251527,-24.09432769251527,0.0,8.295666666666666,90.5,90.5,0.6994161325087234,0.7344734339758612,0.7277910323678828,0.49397454189514445,0.5464183949220754,0.5752604771441978,0.6158589036308493,0.52715513608186,0.7659465495147793
nagoya,run1,2,300,100.0,34.8199323122003,0.0,34.8199323122003,-65.18006768779969,-65.18006768779969,0.0,29.301,390.5,300.0,0.658845659573893,0.26127874996150396,0.2837073320710962,0.3077230915731105,0.17022284958136216,0.7446900991759323,0.80922302506687,0.8008154185803026,0.8907624684602726
nagoya,run1,3,214,77.10280373831776,10.39769871785966,0.0,10.39769871785966,-66.7051050204581,-66.7051050204581,0.0,26.129439252336454,601.5,211.0,0.5039798221787688,0.3006281010183387,0.24418172931472126,0.2613402104860706,0.033157184154021246,0.7169327169068437,0.648813504172832,0.7983621413216277,0.8624929888338164
nagoya,run1,4,280,0.0,3.394979130878922,0.0,3.394979130878922,3.394979130878922,3.394979130878922,0.0,0.3064285714285714,0.0,-601.5,0.07586510040482539,0.051891141801914856,0.09378573579886271,0.09193166297139913,0.0478808534174173,0.14279825669960394,0.0,0.16230350836184032,0.10971084007841633
nagoya,run1,5,300,3.3333333333333335,18.75825076811805,0.0,18.75825076811805,15.424917434784716,15.424917434784716,0.0,1.326,0.0,0.0,0.20622758586699735,0.22671952104774523,0.328615729370804,0.3360332981300938,0.38918070797915594,0.1953203076643339,0.2661785836724021,0.15842287041406455,0.24461863466952832
nagoya,run1,6,300,0.3333333333333333,11.315940710314669,0.0,11.315940710314669,10.982607376981337,10.982607376981337,0.0,1.2846666666666666,11.0,11.0,0.39612345946185734,0.29752373945501603,0.33214906234331826,0.22346462195079608,0.5116673359003523,0.5789437226344498,0.7772647393048867,0.6994672497993193,0.7532051329705189
nagoya,run1,7,300,0.0,33.68373091684834,0.0,33.68373091684834,33.68373091684834,33.68373091684834,0.0,1.0926666666666665,11.0,0.0,0.4777428032286288,0.6692906789272687,0.7021401743751803,0.44175082691310025,0.39862512062326394,0.8289967355188065,0.8399215913077918,0.8492815072378415,0.895132585864363
nagoya,run1,8,300,12.333333333333334,10.180194035397934,0.0,10.180194035397934,-2.1531392979354,-2.1531392979354,0.0,1.2273333333333334,17.85,6.850000000000001,0.19285976473169802,0.28964932779220887,0.25707875352993537,0.2507910642229884,0.050766221376782515,0.5186235446302687,0.1342208484610197,0.530604030143339,0.6471299098856333
nagoya,run1,9,269,1.1152416356877324,2.535206058167393,0.0,2.535206058167393,1.4199644224796606,1.4199644224796606,0.0,0.9286245353159852,34.0,16.15,0.04403991096687902,0.041253539382192124,0.0627162968420783,0.05217854135779275,0.0,0.2174838311415057,0.048891846962996546,0.16909172094854832,0.14095993879975235
